name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
TEAMGROUP T-Force Vulcan Z 16 GB,,"4,3200","1,16",,Black,10.0,16.0,DDR4,3200,1,16,16
Crucial Ballistix Sport LT 16 GB,,"4,2666","1,16",,Red / Black,12.003,16.0,DDR4,2666,1,16,16
Crucial Ballistix 64 GB,,"4,3200","2,32",,Black,10.0,16.0,DDR4,3200,2,32,64
Crucial Ballistix RGB 32 GB,,"4,3600","2,16",,White,8.889,16.0,DDR4,3600,2,16,32
Crucial Ballistix RGB 16 GB,,"4,3200","2,8",,Red,10.0,16.0,DDR4,3200,2,8,16
Crucial Ballistix MAX 32 GB,,"4,4400","2,16",,Black,8.636,19.0,DDR4,4400,2,16,32
TEAMGROUP T-Force Night Hawk Legend RGB 32 GB,,"4,3200","2,16",,Black,10.0,16.0,DDR4,3200,2,16,32
Neo Forza FAYE 32 GB,,"4,3200","2,16",,Silver / Black,10.0,16.0,DDR4,3200,2,16,32
G.Skill Trident Z Neo 32 GB,,"4,4000","2,16",,Black / Silver,7.0,14.0,DDR4,4000,2,16,32
G.Skill Trident Z Royal Elite 16 GB,,"4,5333","2,8",,Gold,8.251,22.0,DDR4,5333,2,8,16
TEAMGROUP T-Force Vulcan Z 64 GB,,"4,3200","2,32",,Red,10.0,16.0,DDR4,3200,2,32,64
Kingston FURY Renegade 32 GB,,"4,4266","2,16",,Black,8.908,19.0,DDR4,4266,2,16,32
Kingston Server Premier 16 GB,64.5,"4,3200","1,16",4.03125,Unknown,13.75,22.0,DDR4,3200,1,16,16
Kingston FURY Beast 16 GB,,"4,3733","2,8",,Black,10.179,19.0,DDR4,3733,2,8,16
ADATA XPG GAMMIX D20 8 GB,,"4,3200","1,8",,Black / Silver,10.0,16.0,DDR4,3200,1,8,8
Lexar Hades OC 16 GB,,"4,3600","2,8",,Gray / Black,10.0,18.0,DDR4,3600,2,8,16
ADATA XPG SPECTRIX D50 32 GB,,"4,4133","2,16",,White,9.194,19.0,DDR4,4133,2,16,32
TEAMGROUP Elite Plus 32 GB,78.98,"5,4800","1,32",2.468125,Black,16.667,40.0,DDR5,4800,1,32,32
OLOy Blade RGB 64 GB,,"5,6400","2,32",,Black,10.0,32.0,DDR5,6400,2,32,64
Kingston HyperX Predator 32 GB,,"4,2666","2,16",,Black / Silver,9.752,13.0,DDR4,2666,2,16,32
Kingston FURY Beast RGB 8 GB,,"4,3600","1,8",,Black / Silver,9.444,17.0,DDR4,3600,1,8,8
Timetec 75TT16NUL2R8-8GK2 16 GB,,"3,1600","2,8",,Green,13.75,11.0,DDR3,1600,2,8,16
TEAMGROUP Elite Plus 16 GB,,"4,2400","1,16",,Black / Gold,13.333,16.0,DDR4,2400,1,16,16
Apacer Panther 32 GB,,"5,6000","2,16",,Silver / Black,13.333,40.0,DDR5,6000,2,16,32
TEAMGROUP T-Force Vulcan 32 GB,,"5,6400","2,16",,Black,9.375,30.0,DDR5,6400,2,16,32
TEAMGROUP T-Force Delta RGB 96 GB,,"5,6400","2,48",,Black,10.0,32.0,DDR5,6400,2,48,96
Lexar Ares RGB 2nd Gen 32 GB,,"5,8000","2,16",,Black,9.5,38.0,DDR5,8000,2,16,32
ADATA XPG Lancer Blade 32 GB,,"5,5600","1,32",,Black,16.429,46.0,DDR5,5600,1,32,32
ADATA XPG LANCER NEON RGB 16 GB,,"5,6000","1,16",,Black,10.0,30.0,DDR5,6000,1,16,16
TEAMGROUP Elite 32 GB,80.98,"4,3200","2,16",2.530625,Black,13.75,22.0,DDR4,3200,2,16,32
Lexar LD4AS032G-B3200GSST 32 GB,131.53,"4,3200","1,32",4.1103125,Black,13.75,22.0,DDR4,3200,1,32,32
Crucial CT16G3ERSLD4160B 16 GB,22.49,"3,1600","1,16",1.405625,Black / Green,13.75,11.0,DDR3,1600,1,16,16
G.Skill Trident Z RGB 128 GB,324.99,"4,3200","4,32",2.538984375,Black,10.0,16.0,DDR4,3200,4,32,128
Crucial CT8G4SFS824A 8 GB,28.25,"4,2400","1,8",3.53125,Green / Black,14.167,17.0,DDR4,2400,1,8,8
Corsair Vengeance RGB Pro 32 GB,198.0,"4,3000","2,16",6.1875,Black,10.0,15.0,DDR4,3000,2,16,32
G.Skill Ripjaws V 32 GB,,"4,4266","2,16",,Black,8.908,19.0,DDR4,4266,2,16,32
Kingston FURY Beast 32 GB,151.83,"5,6400","2,16",4.7446875,White,10.0,32.0,DDR5,6400,2,16,32
Kingston FURY Beast 32 GB,228.19,"5,6000","1,32",7.1309375,White,10.0,30.0,DDR5,6000,1,32,32
Corsair Vengeance RGB 32 GB,419.43,"4,3600","2,16",13.1071875,Unknown,10.0,18.0,DDR4,3600,2,16,32
Corsair Vengeance RGB RS 16 GB,85.99,"4,3600","1,16",5.374375,Black,10.0,18.0,DDR4,3600,1,16,16
Patriot Viper Elite 5 RGB 32 GB,109.99,"5,6600","2,16",3.4371875,White,10.909,36.0,DDR5,6600,2,16,32
Kingston FURY Renegade Pro 16 GB,119.61,"5,6000","1,16",7.475625,Black,10.667,32.0,DDR5,6000,1,16,16
Kingston Fury Beast RGB Special Edition 8 GB,39.99,"4,3600","1,8",4.99875,White,9.444,17.0,DDR4,3600,1,8,8
TEAMGROUP T-Force Vulcanα 32 GB,,"5,6000","2,16",,Black,12.667,38.0,DDR5,6000,2,16,32
G.Skill NT 8 GB,53.5,"4,2133","2,4",6.6875,Black,14.065,15.0,DDR4,2133,2,4,8
Corsair Dominator Platinum RGB 16 GB,101.69,"4,4000","2,8",6.355625,White,9.5,19.0,DDR4,4000,2,8,16
Kingston FURY Beast RGB 32 GB,153.99,"5,6400","1,32",4.8121875,Black,10.0,32.0,DDR5,6400,1,32,32
Crucial CT32G4DFD8266 32 GB,127.65,"4,2666","1,32",3.9890625,Green / Black,14.254,19.0,DDR4,2666,1,32,32
Patriot Viper 4 Blackout 64 GB,,"4,3600","2,32",,Black,10.0,18.0,DDR4,3600,2,32,64
Corsair Vengeance RGB Pro SL 16 GB,83.99,"4,3200","2,8",5.249375,Black,10.0,16.0,DDR4,3200,2,8,16
Corsair Dominator Platinum RGB 128 GB,,"4,3200","4,32",,Black,10.0,16.0,DDR4,3200,4,32,128
Corsair Vengeance RGB RT 16 GB,73.67,"4,4000","2,8",4.604375,Black,9.0,18.0,DDR4,4000,2,8,16
Kingston FURY 32 GB,,"4,3200","2,16",,Black,10.0,16.0,DDR4,3200,2,16,32
Kingston ValueRAM 32 GB,99.0,"4,2666","1,32",3.09375,Green,14.254,19.0,DDR4,2666,1,32,32
Kingston FURY Renegade 32 GB,,"5,6800","2,16",,Silver / Black,10.588,36.0,DDR5,6800,2,16,32
Kingston KSM48R40BS4TMM-32HMR 32 GB,122.86,"5,4800","1,32",3.839375,Green,16.667,40.0,DDR5,4800,1,32,32
Kingston FURY 32 GB,,"5,6000","2,16",,White,13.333,40.0,DDR5,6000,2,16,32
Corsair Vengeance RGB 64 GB,213.99,"5,5600","2,32",3.34359375,White / Black,12.857,36.0,DDR5,5600,2,32,64
Kingston FURY Renegade 16 GB,209.32,"5,6000","1,16",13.0825,Silver / White,10.667,32.0,DDR5,6000,1,16,16
V-Color TRA548G68D834O 384 GB,3369.99,"5,6800","8,48",8.776015625,Black,10.0,34.0,DDR5,6800,8,48,384
Kingston FURY Beast 32 GB,130.5,"5,6000","1,32",4.078125,White,10.0,30.0,DDR5,6000,1,32,32
Crucial CT25664AA1067 2 GB,,"2,1066","1,2",,Green,13.133,7.0,DDR2,1066,1,2,2
Corsair Dominator GT 12 GB,,"3,2000","3,4",,Black / Red,9.0,9.0,DDR3,2000,3,4,12
Corsair XMS2 1 GB,,"2,800","1,1",,Black / Purple,12.5,5.0,DDR2,800,1,1,1
G.Skill Ripjaws 8 GB,34.53,"3,1600","2,4",4.31625,Black / Red,11.25,9.0,DDR3,1600,2,4,8
Kingston KVR1333D3K2/2GR 2 GB,29.61,"3,1333","2,1",14.805,Green,13.503,9.0,DDR3,1333,2,1,2
Corsair Dominator Platinum 16 GB,,"3,1600","2,8",,Black / Silver,11.25,9.0,DDR3,1600,2,8,16
Crucial Ballistix Tactical 16 GB,,"3,1600","2,8",,Black / Yellow,10.0,8.0,DDR3,1600,2,8,16
ADATA XPG V1.0 8 GB,,"3,1600","2,4",,Blue / Silver,13.75,11.0,DDR3,1600,2,4,8
Kingston HyperX Fury 8 GB,,"3,1600","2,4",,White / Silver,12.5,10.0,DDR3,1600,2,4,8
ADATA XPG Z1 8 GB,,"4,2400","2,4",,Red / Black,13.333,16.0,DDR4,2400,2,4,8
Kingston KVR21R15S4K4/32 32 GB,128.62,"4,2133","4,8",4.019375,Black / Green,14.065,15.0,DDR4,2133,4,8,32
