name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
V-Color TRA516G64S832Q 64 GB,551.99,"5,6400","4,16",8.62484375,White,10.0,32.0,DDR5,6400,4,16,64
V-Color TRA532G62D832Q 128 GB,959.99,"5,6200","4,32",7.499921875,White,10.323,32.0,DDR5,6200,4,32,128
V-Color TRA532G68D834Q 128 GB,1151.99,"5,6800","4,32",8.999921875,White,10.0,34.0,DDR5,6800,4,32,128
Kingston Fury Renegade RGB 32 GB,204.98,"5,6000","1,32",6.405625,Silver / Black,10.667,32.0,DDR5,6000,1,32,32
Corsair WS 128 GB,990.99,"5,5600","8,16",7.742109375,Black / Green,14.286,40.0,DDR5,5600,8,16,128
Kingston FURY Renegade Pro 64 GB,565.0,"5,6400","4,16",8.828125,Black,10.0,32.0,DDR5,6400,4,16,64
Kingston FURY Renegade Pro 128 GB,874.0,"5,5600","8,16",6.828125,Black,12.857,36.0,DDR5,5600,8,16,128
Kingston FURY Renegade Pro 256 GB,1892.0,"5,6400","8,32",7.390625,Black,10.0,32.0,DDR5,6400,8,32,256
V-Color TRA516G56S836O 128 GB,901.99,"5,5600","8,16",7.046796875,Black,12.857,36.0,DDR5,5600,8,16,128
V-Color TRA524G64S832O 192 GB,1429.99,"5,6400","8,24",7.447864583333334,Black,10.0,32.0,DDR5,6400,8,24,192
V-Color TRA532G68D834O 256 GB,2239.99,"5,6800","8,32",8.7499609375,Black,10.0,34.0,DDR5,6800,8,32,256
Silicon Power XPOWER Pulse Gaming 64 GB,193.46,"5,5600","2,32",3.0228125,Black / White,14.286,40.0,DDR5,5600,2,32,64
Kingston ValueRAM 16 GB,49.46,"4,3200","1,16",3.09125,Unknown,13.75,22.0,DDR4,3200,1,16,16
Crucial CT32G4SFD8266 32 GB,99.29,"4,2666","1,32",3.1028125,Green / Black,14.254,19.0,DDR4,2666,1,32,32
Patriot Signature Line 8 GB,19.98,"4,2400","1,8",2.4975,Green / Black,14.167,17.0,DDR4,2400,1,8,8
