name,price,socket,form_factor,max_memory,memory_slots,color,has_integrated_cpu,primary_socket,ram_type,price_is_predicted
ASRock C236 WSI,159.03265347568203,LGA1151,Mini ITX,32,2,Green / Blue,False,LGA1151,DDR4,True
Asus STRIX B250F GAMING,325.5647508418858,LGA1151,ATX,64,4,Black / Silver,False,LGA1151,DDR4,True
MSI X370 GAMING PLUS,446.071811403207,AM4,ATX,64,4,Black / Red,False,AM4,DDR4,True
Asus PRIME Z590-V,388.3794719854582,LGA1200,ATX,128,4,Silver / Black,False,LGA1200,DDR4,True
Asus Z590 WIFI GUNDAM EDITION,388.3794719854582,LGA1200,ATX,128,4,Black / White,False,LGA1200,DDR4,True
Asus PRIME B560M-K,183.12856162190423,LGA1200,Micro ATX,64,2,Silver / Black,False,LGA1200,DDR4,True
Asus TUF GAMING B560M-PLUS,319.48938373889445,LGA1200,Micro ATX,128,4,Black / Gold,False,LGA1200,DDR4,True
Gigabyte X570S UD,451.6075617287118,AM4,ATX,128,4,Black / Gray,False,AM4,DDR4,True
Gigabyte B760 DS3H AX V2 (rev. 1.0),190.6833139429258,LGA1700,ATX,192,4,Black / Gray,False,LGA1700,DDR5,True
Gigabyte B760M E,184.8,LGA1700,Micro ATX,96,2,Black / Gray,False,LGA1700,DDR5,False
ASRock Z590M Pro4,299.99,LGA1200,Micro ATX,128,4,Black / Silver,False,LGA1200,DDR4,False
MSI MAG B760M MORTAR WIFI,183.50804380952263,LGA1700,Micro ATX,192,4,Black / Silver,False,LGA1700,DDR5,True
MSI MPG Z790 EDGE MONSTER HUNTER EDITION,273.74238558959206,LGA1700,ATX,256,4,Black / Red,False,LGA1700,DDR5,True
Asus TUF GAMING H670-PRO WIFI D4,229.99,LGA1700,ATX,128,4,Gray / Black,False,LGA1700,DDR5,False
Asus MAXIMUS VII RANGER,,LGA1150,ATX,32,4,Black / Red,False,LGA1150,DDR4,False
Asus PRIME B350M-K,121.65516022688332,AM4,Micro ATX,32,2,Black / Silver,False,AM4,DDR4,True
Gigabyte X399 DESIGNARE EX,689.7053580815009,sTR4,ATX,128,8,Silver / Black,False,sTR4,DDR4,True
Asus Q87M-E/CSM,190.32882711414683,LGA1150,Micro ATX,32,4,Black / Gold,False,LGA1150,DDR4,True
Gigabyte GA-Z170XP-SLI,,LGA1151,ATX,64,4,Black / Red,False,LGA1151,DDR4,False
ASRock X470 Master SLI/AC,424.8390342690371,AM4,ATX,64,4,Black / Silver,False,AM4,DDR4,True
Asus PRIME B365M-K,196.12668737741873,LGA1151,Micro ATX,32,2,Black / Silver,False,LGA1151,DDR4,True
MSI B460M PRO-VDH,223.82329956227292,LGA1200,Micro ATX,128,4,Black,False,LGA1200,DDR4,True
XFX MBN790IUL9,361.99,LGA775,ATX,8,4,Unknown,False,LGA775,DDR2,False
MSI B150M PRO-VDH,216.9828395114109,LGA1151,Micro ATX,64,4,Brown / Black,False,LGA1151,DDR4,True
Asus PRIME H770-PLUS D4,189.99,LGA1700,ATX,128,4,Silver / Black,False,LGA1700,DDR5,False
Gigabyte GA-B85M-HD3,95.55572220292188,LGA1150,Micro ATX,16,2,Black,False,LGA1150,DDR4,True
Gigabyte Z490 AORUS MASTER,510.9,LGA1200,ATX,128,4,Black / Silver,False,LGA1200,DDR4,False
Gigabyte GA-Z97X-SLI,328.70813929491675,LGA1150,ATX,32,4,Black / Red,False,LGA1150,DDR4,True
MSI B150 Gaming M3,216.9828395114109,LGA1151,ATX,64,4,Black / Red,False,LGA1151,DDR4,True
MSI B150M BAZOOKA,216.9828395114109,LGA1151,Micro ATX,64,4,Black / White,False,LGA1151,DDR4,True
Asus PRIME Z270-K,453.5753305383476,LGA1151,ATX,64,4,Black / White,False,LGA1151,DDR4,True
Gigabyte B760M G AX,162.08828776653243,LGA1700,Micro ATX,96,2,Black / Silver,False,LGA1700,DDR5,True
Gigabyte Z590 VISION D,388.3794719854582,LGA1200,ATX,128,4,Black / White,False,LGA1200,DDR4,True
Asus ROG MAXIMUS XII EXTREME,996.85,LGA1200,EATX,128,4,Black,False,LGA1200,DDR4,False
Asus MAXIMUS VIII RANGER,548.88,LGA1151,ATX,64,4,Black / Red,False,LGA1151,DDR4,False
Asus TUF GAMING B660M-PLUS D4,454.0,LGA1700,Micro ATX,128,4,Orange / Black,False,LGA1700,DDR5,False
Gigabyte Z590 GAMING X,388.3794719854582,LGA1200,ATX,128,4,Black / Silver,False,LGA1200,DDR4,True
ASRock Z790 Taichi,273.74238558959206,LGA1700,EATX,192,4,Black / Gold,False,LGA1700,DDR5,True
Asus X99-DELUXE,591.6214550526897,LGA2011-3,ATX,64,8,Black / White,False,LGA2011-3,DDR4,True
Asus Z10PA-D8,,2 x LGA2011-3,ATX,512,8,Blue / White,False,LGA2011-3,DDR4,False
ASRock Z370M-ITX/ac,322.88672641584924,LGA1151,Mini ITX,32,2,Black / Silver,False,LGA1151,DDR4,True
MSI B360-A PRO,227.20519752878113,LGA1151,ATX,64,4,Brown,False,LGA1151,DDR4,True
MSI MPG Z590 GAMING FORCE,388.3794719854582,LGA1200,ATX,128,4,Black,False,LGA1200,DDR4,True
Asus PRIME B860-PLUS-CSM,274.73,LGA1851,ATX,256,4,Silver / Black,False,LGA1851,DDR5,False
Asus ROG Strix X399-E Gaming,577.6840465788055,sTR4,EATX,128,8,Black,False,sTR4,DDR4,True
Gigabyte Z690 AERO G,355.1899326687469,LGA1700,ATX,128,4,Black / Silver,False,LGA1700,DDR5,True
