name,price,type,color,psu,side_panel,external_volume,internal_35_bays,form_factor_family,has_builtin_psu,estimated_max_gpu_length,is_estimated_gpu_clearance
KOLINK Tranquility,,ATX Mid Tower,Black,0.0,Unknown,40.6,2,ATX,True,350,True
Thermaltake A500,,ATX Mid Tower,Silver / Black,0.0,Tempered Glass,67.4,6,ATX,True,350,True
Aerocool Playa Slim,,MicroATX Mini Tower,Black,0.0,Unknown,31.35,1,MicroATX,True,300,True
Zalman X3,,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,45.8,2,ATX,True,350,True
Jonsbo MOD-3,,ATX Mid Tower,Gray,0.0,Tempered Glass,93.1,1,ATX,True,350,True
BitFenix Prodigy M 2022,,MicroATX Mini Tower,Black / White,0.0,Tempered Glass,31.35,2,MicroATX,True,300,True
Cougar MG140 Air RGB,,MicroATX Mini Tower,White / Black,0.0,Tempered Glass,35.3,2,MicroATX,True,300,True
Cougar Dust 2,,Mini ITX Tower,Black / Gray,0.0,Mesh,23.6,0,Mini ITX,True,320,True
LC-Power Gaming 808B Skylla_X,,ATX Mid Tower,Black,0.0,Tempered Glass,50.7,2,ATX,True,350,True
Zalman P30 AIR,,MicroATX Mini Tower,Black,0.0,Tempered Glass,44.6,2,MicroATX,True,300,True
Apevia X-Cruiser,,ATX Mid Tower,Black / Silver,0.0,Acrylic,41.2,5,ATX,True,350,True
Logisys CS888CL,,ATX Mid Tower,Clear,0.0,Unknown,43.3,6,ATX,True,350,True
NZXT Phantom,,ATX Full Tower,Pink / Black,0.0,Unknown,74.3,7,ATX,True,400,True
In Win BK623.BN300TBL,,MicroATX Mini Tower,Black,300.0,Unknown,12.3,1,MicroATX,True,300,True
Thermaltake Commander MS-I ID,,ATX Mid Tower,Black,0.0,Acrylic,41.1,5,ATX,True,350,True
Thermaltake Commander MS/I Snow Edition,,ATX Mid Tower,White / Black,0.0,Acrylic,41.9,5,ATX,True,350,True
NZXT Switch 810,,ATX Full Tower,Black,0.0,Acrylic,81.3,6,ATX,True,400,True
Cooler Master Storm Scout 2,,ATX Mid Tower,White,0.0,Acrylic,61.6,7,ATX,True,350,True
Xion XON-720P,,MicroATX Slim,White,300.0,Unknown,10.4,1,MicroATX,True,240,True
Topower TP-1687BS-400,,MicroATX Desktop,Black / Silver,400.0,Unknown,15.4,1,MicroATX,True,280,True
BitFenix Phenom M,,MicroATX Mini Tower,Black,0.0,Unknown,30.6,5,MicroATX,True,300,True
Apevia X-Hermes,,ATX Mid Tower,Black / Blue,0.0,Acrylic,44.7,4,ATX,True,350,True
Fractal Design Arc Midi R2,,ATX Mid Tower,Black,0.0,Unknown,55.6,8,ATX,True,350,True
Antec Eleven Hundred V2,,ATX Mid Tower,Black,0.0,Acrylic,67.6,6,ATX,True,350,True
Phanteks Enthoo Luxe,,ATX Full Tower,White / Black,0.0,Acrylic,72.4,6,ATX,True,400,True
Thermaltake Core V51,,ATX Mid Tower,Black,0.0,Acrylic,71.2,5,ATX,True,350,True
Nanoxia Deep Silence 5,,ATX Full Tower,Black,0.0,Unknown,74.8,11,ATX,True,400,True
Lian Li PC-T80,,ATX Test Bench,Black,0.0,Unknown,45.6,6,ATX,True,450,True
CiT Vanquish,,ATX Mid Tower,Black / Red,0.0,Acrylic,45.8,5,ATX,True,350,True
Rosewill Stryker M,,ATX Mid Tower,Black,0.0,Acrylic,45.8,3,ATX,True,350,True
